Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
cylinder0_link,-2.21147901286285E-08,-1.17124714240567E-08,0.000538226424546475,0,0,0,7.14460666884203E-06,7.09666315631358E-12,4.28779632331602E-17,7.2023311115337E-17,8.71354562102051E-12,1.15784843060722E-16,1.39389111967457E-11,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder0_link.STL,1,1,1,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder0_link.STL,,cylinder_joint_add_pulley-1,BaseFrame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cylinder1_link,2.21147901282573E-08,0.000838226424546475,-1.17124714242402E-08,0,0,0,7.14460666884203E-06,7.09666315631358E-12,-7.20233111152591E-17,-4.28779632334134E-17,1.39389111967457E-11,1.15784843059987E-16,8.7135456210205E-12,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_link.STL,1,1,1,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_link.STL,,cylinder_joint_add_pulley-2,link1Frame1,link1Axis1,cylinder1_joint,revolute,0,0,0.0007,1.5708,0,1.5708,cylinder0_link,0,0,-1,0,0,0,0,,,,,,,,
cylinder1_pulley_link1,-0.00174,0,-0.0015,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-7.97784710100195E-35,-5.89192351390783E-36,1.11400875496839E-18,2.88794327436936E-52,1.11400875496839E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link1.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link1.STL,,pulley_0d2-9,link_pulley2Frame1,link_pulley2Axis1,cylinder1_pulley_joint1,revolute,0.00012,0.001,0.00162,0,0,0,cylinder1_link,0,0,1,0,0,0,0,,,,,,,,
cylinder1_pulley_link2,-0.0015,2.16840434497101E-19,-0.00174,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-7.97784710100195E-35,-2.8104356028974E-36,1.11400875496839E-18,4.22977567219675E-51,1.11400875496839E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link2.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link2.STL,,pulley_0d2-10,link_pulley2Frame2,link_pulley2Axis2,cylinder1_pulley_joint2,revolute,-0.00012,0.0003,0.00162,0,0,0,cylinder1_link,0,0,1,0,0,0,0,,,,,,,,
cylinder1_pulley_link3,0.00149999999999998,4.33680868994202E-19,-0.00174,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-7.73412529070568E-51,-1.08812172603781E-34,1.11400875496777E-18,0,1.11400875496777E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link3.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link3.STL,,pulley_0d2-11,link_pulley2Frame3,link_pulley2Axis3,cylinder1_pulley_joint3,revolute,0.00162,0.001,-0.00012,0,1.5708,0,cylinder1_link,0,0,1,0,0,0,0,,,,,,,,
cylinder1_pulley_link4,0.00173999999999999,-4.33680868994202E-19,-0.0015,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-7.73412529049776E-51,-1.08812172602742E-34,1.11400875495822E-18,0,1.11400875495822E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link4.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link4.STL,,pulley_0d2-12,link_pulley2Frame4,link_pulley2Axis4,cylinder1_pulley_joint4,revolute,0.00162,0.0003,0.00012,0,1.5708,0,cylinder1_link,0,0,1,0,0,0,0,,,,,,,,
cylinder1_pulley_link5,0.00174,2.16840434497101E-19,0.0015,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-1.84164692815845E-34,5.53994514590172E-35,1.11400875496777E-18,1.07524819258416E-36,1.11400875496777E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link5.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link5.STL,,pulley_0d2-13,link_pulley2Frame5,link_pulley2Axis5,cylinder1_pulley_joint5,revolute,-0.00012,0.001,-0.00162,0,0,0,cylinder1_link,0,0,-1,0,0,0,0,,,,,,,,
cylinder1_pulley_link6,0.00149999999999999,4.33680868994202E-19,0.00174,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-1.63226740399668E-34,4.11207011338986E-35,1.11400875496777E-18,9.26853785736369E-37,1.11400875496777E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link6.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link6.STL,,pulley_0d2-14,link_pulley2Frame6,link_pulley2Axis6,cylinder1_pulley_joint6,revolute,0.00012,0.0003,-0.00162,0,0,0,cylinder1_link,0,0,-1,0,0,0,0,,,,,,,,
cylinder1_pulley_link7,-0.00149999999999999,2.16840434497101E-19,0.00174,0,0,0,2.26194671058465E-10,5.65486677646163E-20,-7.14923246559304E-36,-4.84963182011873E-35,1.11400875494747E-18,-4.65961258688552E-36,1.11400875494747E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link7.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link7.STL,,pulley_0d2-15,link_pulley2Frame7,link_pulley2Axis7,cylinder1_pulley_joint7,revolute,-0.00162,0.001,0.00012,0,1.5708,0,cylinder1_link,0,0,-1,0,0,0,0,,,,,,,,
cylinder1_pulley_link8,-0.00174,-4.33680868994202E-19,0.0015,0,0,0,2.26194671058465E-10,5.65486677646162E-20,-1.89513880598251E-36,-5.15205864248841E-35,1.11400875496437E-18,5.20254991764332E-36,1.11400875496437E-18,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link8.STL,0.250980392156863,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://cylinder_joint_1_pairs_pulley_asm2/meshes/cylinder1_pulley_link8.STL,,pulley_0d2-16,link_pulley2Frame8,link_pulley2Axis8,cylinder1_pulley_joint8,revolute,-0.00162,0.0003,-0.00012,0,1.5708,0,cylinder1_link,0,0,-1,0,0,0,0,,,,,,,,
