Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,-2.21907652596446E-08,-1.16344392510809E-08,0.000538247791607803,0,0,0,7.14380964147276E-06,7.09547840102883E-12,4.28536440220919E-17,7.27330777188676E-17,8.71236658742558E-12,1.14893231592751E-16,1.39367891333543E-11,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link0.STL,,cylinder_joint1-1,frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,2.21907652597405E-08,0.000838247791607803,-1.16344392510295E-08,0,0,0,7.14380964147277E-06,7.09547840102883E-12,-7.27330777189981E-17,-4.28536440221508E-17,1.39367891333544E-11,1.14893231591823E-16,8.71236658742558E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link1.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link1.STL,,cylinder_joint1-2,frame1,axis1,joint1,continuous,0,0,0.0007,1.5708,0,1.5708,link0,0,0,1,100,1,-0.157,0.157,,,,,,,,
link2,-2.21907652596427E-08,0.000838247791607803,1.16344392512799E-08,0,0,0,7.14380964147276E-06,7.09547840102883E-12,7.2733077718779E-17,-4.28536440221158E-17,1.39367891333544E-11,-1.14893231591539E-16,8.71236658742558E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link2.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link2.STL,,cylinder_joint1-3,frame2,axis2,joint2,continuous,0,0.001,0,0,1.5708,0,link1,0,0,1,100,1,-0.157,0.157,,,,,,,,
link3,-2.21907652596674E-08,0.000838247791607803,1.16344392514508E-08,0,0,0,7.14380964147276E-06,7.09547840102883E-12,7.27330777185047E-17,-4.28536440225979E-17,1.39367891333543E-11,-1.14893231591706E-16,8.71236658742558E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link3.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link3.STL,,cylinder_joint1-4,frame3,axis3,joint3,continuous,0,0.001,0,3.1416,-1.5708,0,link2,0,0,1,100,1,-0.157,0.157,,,,,,,,
link4,-2.21907652595925E-08,0.000838247791607803,1.16344392505559E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777185742E-17,-4.28536440226602E-17,1.39367891333543E-11,-1.14893231591943E-16,8.71236658742557E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link4.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link4.STL,,cylinder_joint1-5,frame4,axis4,joint4,continuous,0,0.001,0,0,1.5708,0,link3,0,0,1,100,1,-0.157,0.157,,,,,,,,
link5,-2.21907652597814E-08,0.000838247791607805,1.16344392510284E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777185579E-17,-4.28536440225277E-17,1.39367891333543E-11,-1.1489323159178E-16,8.71236658742557E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link5.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link5.STL,,cylinder_joint1-8,frame5,axis5,joint5,continuous,0,0.001,0,3.1416,-1.5708,0,link4,0,0,1,100,1,-0.157,0.157,,,,,,,,
link6,-2.21907652596203E-08,0.000838247791607804,1.16344392499469E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777187836E-17,-4.28536440227107E-17,1.39367891333543E-11,-1.14893231591542E-16,8.71236658742557E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link6.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link6.STL,,cylinder_joint1-9,frame6,axis6,joint6,continuous,0,0.001,0,0,1.5708,0,link5,0,0,1,100,1,-0.157,0.157,,,,,,,,
link7,-2.21907652597862E-08,0.000838247791607803,1.16344392505934E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777190427E-17,-4.28536440224905E-17,1.39367891333543E-11,-1.14893231592436E-16,8.71236658742558E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link7.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link7.STL,,cylinder_joint1-10,frame7,axis7,joint7,continuous,0,0.001,0,3.1416,-1.5708,0,link6,0,0,1,100,1,-0.157,0.157,,,,,,,,
link8,-2.21907652596475E-08,0.000838247791607803,1.16344392498305E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777186182E-17,-4.2853644021828E-17,1.39367891333543E-11,-1.14893231592717E-16,8.71236658742557E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link8.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link8.STL,,cylinder_joint1-11,frame8,axis8,joint8,continuous,0,0.001,0,0,1.5708,0,link7,0,0,1,100,1,-0.157,0.157,,,,,,,,
link9,-2.21907652596476E-08,0.000838247791607802,1.1634439250027E-08,0,0,0,7.14380964147276E-06,7.09547840102882E-12,7.27330777186689E-17,-4.28536440227988E-17,1.39367891333543E-11,-1.14893231592105E-16,8.71236658742557E-12,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link9.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://cylinder_joint_25asm_13/meshes/link9.STL,,cylinder_joint1-12,frame9,axis9,joint9,continuous,0,0.001,0,3.1416,-1.5708,0,link8,0,0,1,100,1,-0.157,0.157,,,,,,,,
